_id,position,dept,year,name,email,class
q1990301,學生,經濟系,3,張五 (ZHANG WU),q1990301@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990302,學生,經濟系,3,胡三 (HU SAN),q1990302@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990303,學生,經濟系,4,蘇八 (SU BA),q1990303@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990304,學生,經濟系,4,何十 (HE SHI),q1990304@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990305,學生,經濟系,4,林六 (LIN LIU),q1990305@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990306,學生,經濟系,4,章九 (ZHANG JIU),q1990306@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
b09502132,學生,機械系,4,"周哲瑋 (CHOU,CHE-WEI)",b09502132@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990307,學生,材料系,4,林十 (LIN SHI),q1990307@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990308,學生,醫工系,4,趙九 (ZHAO JIU),q1990308@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990309,學生,醫工系,4,魯五 (LU WU),q1990309@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990310,學生,土木所水利組,1,何九 (HE JIU),q1990310@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990311,學生,土木所營管組,1,陳一 (CHEN YI),q1990311@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990312,學生,土木所營管組,3,高七 (GAO QI),q1990312@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990313,學生,機械所固力組,1,馬三 (MA SAN),q1990313@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990314,學生,機械所固力組,1,韓四 (HAN SI),q1990314@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990315,學生,機械所製造組,1,崔五 (CUI WU),q1990315@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990316,學生,機械所製造組,1,韓五 (HAN WU),q1990316@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990317,學生,工科海洋所,1,羅八 (LUO BA),q1990317@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990318,學生,工科海洋所,1,施一 (SHI YI),q1990318@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990319,學生,工科海洋所,2,陳七 (CHEN QI),q1990319@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990320,學生,材料所,1,魯七 (LU QI),q1990320@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990321,學生,材料所應材班,1,林九 (LIN JIU),q1990321@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990322,學生,動科系,4,許八 (XU BA),q1990322@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990323,學生,動科系,4,許十 (XU SHI),q1990323@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990324,學生,生物機電系,4,高九 (GAO JIU),q1990324@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990325,學生,生物機電系,4,彭八 (PENG BA),q1990325@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990326,學生,生物機電系,4,梁三 (LIANG SAN),q1990326@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990327,學生,生物機電系,4,嶽四 (YUE SI),q1990327@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
q1990328,學生,森林環資所,3,蔣四 (JIANG SI),q1990328@ntu.edu.tw,資料庫系統-從SQL到NoSQL (EE5178)
